Company Name,Location,Datum,Detail,Status Rocket, Rocket,Status Mission
CASC,"LC-9, Jiuquan, China",Sep 21 2020 05:40 UTC,Ocean-2C,Long March 4B,StatusActive,30.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL, USA",Sep 18 2020 17:59 UTC,Starlink V1 L12,Falcon 9 Block 5,StatusActive,50.0,Success
CASC,"Yellow Sea Platform, China",Sep 15 2020 01:23 UTC,Jilin-1 Gaofen 03C,Long March 11,StatusActive,10.0,Success
Astra,"LP-3B, Kodiak, Alaska, USA",Sep 12 2020 03:19 UTC,Rocket 3.1 (Test Flight),Rocket 3.1,StatusRetired,2.5,Failure
CASC,"LC-2, Xichang, China",Sep 12 2020 05:02 UTC,ChinaSat 1E,Long March 3B/E,StatusActive,50.0,Success
CASC,"LC-9, Jiuquan, China",Sep 07 2020 05:57 UTC,Gaofen 11-02,Long March 4B,StatusActive,30.0,Success
CASC,"LC-9, Taiyuan, China",Sep 04 2020 05:30 UTC,Reusable Experimental Spacecraft,Long March 2F/T,StatusActive,60.0,Success
SpaceX,"LC-39A, Kennedy Space Center, FL, USA",Sep 03 2020 12:46 UTC,Starlink V1 L11,Falcon 9 Block 5,StatusActive,50.0,Success
SpaceX,"SLC-40, Cape Canaveral, FL, USA",Aug 30 2020 23:18 UTC,SAOCOM 1B,Falcon 9 Block 5,StatusActive,62.0,Success
Rocket Lab,"LC-1A, Mahia, New Zealand",Aug 31 2020 03:05 UTC,I Can't Believe It's Not Optical,Electron,StatusActive,7.5,Success
CASC,"LC-2, Xichang, China",Aug 23 2020 02:27 UTC,Gaofen 9-05,Long March 2D,StatusActive,29.7,Success













